date,open,close,high,low,volume,e
2024-01-22,14.17,13.39,14.26,13.18,28304,39135298.86
2024-01-23,13.39,13.45,13.64,13.2,14632,19663979.27
2024-01-24,13.56,13.31,13.61,12.93,21332,28219153.36
2024-01-25,13.46,13.48,13.78,13.27,22118,29945999.22
2024-01-26,13.3,13.34,13.74,13.2,19581,26367181.66
2024-01-29,13.29,12.34,13.34,12.34,21972,27946555.77
2024-01-30,12.32,12.26,12.57,12.1,13582,16733859.32
2024-01-31,12.16,12.25,12.54,12.16,12214,15099558.74
2024-02-01,12.39,11.75,12.39,11.75,13215,15932505.22
2024-02-02,11.8,11.15,11.99,10.52,22180,24924257.42
2024-02-05,11.22,10.88,11.22,10.25,20295,21832105.91
2024-02-06,10.9,12.71,12.89,10.66,37994,45813564.71
2024-02-07,12.9,12.37,13.5,12.15,31428,40624080.41
2024-02-08,12.37,12.43,12.85,11.78,21312,26280206.09
2024-02-19,12.5,12.75,12.8,12.4,13897,17560629.95
2024-02-20,12.81,13.39,14.37,12.56,35462,48537029.61
2024-02-21,13.0,13.36,13.73,12.92,32020,42692369.15
2024-02-22,13.31,13.4,13.69,13.05,20548,27395501.94
2024-02-23,13.48,13.11,13.5,12.93,20166,26506029.43
2024-02-26,13.04,13.05,13.2,12.94,10129,13208894.68
2024-02-27,13.18,13.52,13.65,13.06,29210,39241169.74
2024-02-28,13.9,13.13,14.22,13.03,33026,45327609.89
2024-02-29,13.3,13.63,13.68,13.1,22384,30079037.78
2024-03-01,13.75,13.65,13.76,13.45,13826,18780630.79
2024-03-04,13.64,13.84,14.14,13.36,25909,35728338.02
2024-03-05,13.65,13.1,13.68,13.01,20982,27838550.89
2024-03-06,12.95,13.11,13.24,12.89,14456,18887428.31
2024-03-07,13.15,12.79,13.15,12.75,11014,14235611.51
2024-03-08,12.89,12.82,13.04,12.7,7160,9217233.64
2024-03-11,12.71,12.82,12.9,12.66,10878,13902056.42
2024-03-12,12.82,13.09,13.56,12.8,19548,25801351.89
2024-03-13,13.02,12.67,13.02,12.67,17697,22587905.14
2024-03-14,13.2,12.85,13.9,12.75,31655,42027435.44
2024-03-15,12.65,13.06,13.25,12.41,29079,37476953.56
2024-03-18,13.1,13.1,13.2,12.93,15342,20020618.0
2024-03-19,13.09,12.9,13.13,12.82,12507,16230055.13
2024-03-20,12.85,13.0,13.05,12.85,7510,9746227.78
2024-03-21,13.0,12.74,13.03,12.67,14716,18829010.16
2024-03-22,12.69,12.62,12.89,12.59,11076,14043984.67
2024-03-25,12.58,12.26,12.68,12.26,8953,11144473.98
2024-03-26,12.28,12.11,12.39,11.96,8169,9909111.65
2024-03-27,12.11,12.12,12.45,12.11,7898,9712111.15
2024-03-28,12.03,12.23,12.35,12.03,6549,7972190.93
2024-03-29,12.18,12.19,12.25,12.11,4988,6079433.33
2024-04-01,12.15,12.29,12.39,12.15,5710,7006998.97
2024-04-02,12.21,12.46,12.64,12.21,11913,14902726.89
2024-04-03,12.5,12.49,12.55,12.35,5123,6362751.73
2024-04-08,12.45,12.08,12.45,12.03,7844,9571597.92
2024-04-09,12.06,12.17,12.24,12.04,4188,5085249.44
2024-04-10,12.14,12.16,12.61,12.0,15461,19058167.74
2024-04-11,12.0,11.66,12.01,11.62,18580,21921820.62
2024-04-12,11.68,11.41,11.72,11.37,6809,7838359.92
2024-04-15,11.44,11.06,11.53,11.03,11136,12461385.56
2024-04-16,11.11,10.54,11.13,10.47,13844,14737161.33
2024-04-17,10.74,11.03,11.07,10.61,13534,14768505.26
2024-04-18,11.06,11.06,11.19,10.84,9278,10267421.8
2024-04-19,10.98,10.98,11.1,10.87,5439,5968064.03
2024-04-22,10.98,11.33,11.4,10.95,10619,11992246.08
2024-04-23,11.17,11.33,11.39,11.13,6743,7603881.97
2024-04-24,11.33,11.24,11.33,11.11,8890,9978557.45
2024-04-25,11.23,11.19,11.32,11.16,5588,6284708.27
2024-04-26,11.17,11.3,11.32,11.1,7452,8371927.62
2024-04-29,11.45,11.58,11.67,11.37,10828,12483267.19
2024-04-30,11.49,11.84,12.1,11.48,15149,18010764.96
2024-05-06,11.95,12.08,12.24,11.84,11365,13668080.47
2024-05-07,12.1,11.89,12.14,11.86,8801,10515951.95
2024-05-08,11.84,12.08,12.15,11.84,12922,15528990.22
2024-05-09,12.12,12.06,12.13,11.95,8335,10026833.15
2024-05-10,12.04,11.91,12.06,11.75,6507,7721813.05
2024-05-13,11.8,11.59,12.09,11.59,12314,14565068.9
2024-05-14,11.59,11.52,11.72,11.47,10174,11767458.31
2024-05-15,11.55,11.48,11.63,11.47,7717,8899656.6
2024-05-16,11.51,11.51,11.65,11.42,5477,6308895.49
2024-05-17,11.49,11.53,11.58,11.46,3587,4131362.94
2024-05-20,11.58,11.43,11.58,11.42,6579,7557508.21
2024-05-21,11.38,11.16,11.46,11.15,7452,8375299.9
2024-05-22,11.25,11.25,11.39,11.12,3867,4353875.94
2024-05-23,11.29,11.6,11.76,11.15,19792,22899413.56
2024-05-24,11.65,11.44,11.66,11.42,6405,7385809.75
2024-05-27,11.51,11.46,11.51,11.39,3842,4390959.46
2024-05-28,11.6,11.35,11.69,11.35,5780,6643196.77
2024-05-29,11.33,11.34,11.45,11.28,4791,5435691.41
2024-05-30,11.28,11.31,11.39,11.26,2725,3077230.82
2024-05-31,11.39,11.27,11.39,11.2,2833,3188042.72
2024-06-03,11.28,10.84,11.28,10.8,9618,10550249.81
2024-06-04,10.84,10.77,10.97,10.65,7855,8452521.24
2024-06-05,10.79,10.6,10.79,10.6,4862,5206710.01
2024-06-06,10.69,10.52,10.69,10.44,8923,9393572.23
2024-06-07,10.58,10.69,10.78,10.58,6840,7300957.24
2024-06-11,10.76,10.73,10.87,10.54,3190,3435808.08
2024-06-12,10.83,10.8,10.88,10.66,3824,4130055.86
2024-06-13,10.77,10.8,10.84,10.71,2920,3148987.84
2024-06-14,10.82,10.8,10.82,10.77,2551,2753257.72
2024-06-17,10.74,10.69,10.79,10.63,3217,3441283.51
2024-06-18,10.69,10.73,10.78,10.63,3320,3551209.82
2024-06-19,10.73,10.88,11.07,10.7,6207,6760342.76
2024-06-20,10.85,10.67,10.9,10.67,4485,4828596.88
2024-06-21,10.68,11.04,11.13,10.68,9219,10129020.88
2024-06-24,11.07,10.7,11.07,10.65,6962,7498163.18
2024-06-25,10.63,10.78,10.85,10.63,3691,3968359.51
2024-06-26,10.63,10.75,10.78,10.52,3324,3538836.12
2024-06-27,10.73,10.63,10.74,10.59,2654,2828466.3
2024-06-28,10.62,10.69,10.75,10.62,1807,1932627.47
2024-07-01,10.79,10.84,10.98,10.68,3172,3429668.01
2024-07-02,10.71,10.79,10.86,10.71,2497,2692883.66
2024-07-03,10.86,10.72,10.86,10.72,1611,1733372.04
2024-07-04,10.75,10.55,10.86,10.52,3948,4228266.2
2024-07-05,10.52,10.72,10.78,10.4,3188,3374832.56
2024-07-08,10.85,10.46,10.85,10.46,3751,3985002.17
2024-07-09,10.66,10.62,10.69,10.35,2961,3107390.25
2024-07-10,10.55,10.59,10.73,10.55,2019,2150707.14
2024-07-11,10.77,10.82,10.86,10.65,4551,4893527.81
2024-07-12,10.79,10.7,10.81,10.64,3822,4102389.07
2024-07-15,10.7,10.57,10.73,10.56,3376,3578621.52
2024-07-16,10.56,10.83,10.88,10.55,6931,7456657.9
2024-07-17,10.82,11.6,11.75,10.78,36383,41654984.87
2024-07-18,11.45,11.22,11.65,11.18,21403,24335184.79
2024-07-19,11.2,11.21,11.37,11.1,9621,10819001.69
2024-07-22,11.31,11.09,11.38,11.01,8019,8909681.71
2024-07-23,11.1,10.82,11.15,10.8,5794,6347742.46
2024-07-24,10.83,10.64,10.87,10.61,5110,5462187.76
2024-07-25,10.58,10.63,10.83,10.58,3879,4146497.43
2024-07-26,10.61,10.7,10.76,10.6,3058,3262489.84
2024-07-29,10.69,10.64,10.79,10.61,3165,3374918.7
2024-07-30,10.65,10.72,10.84,10.65,2975,3203166.35
2024-07-31,10.67,10.99,11.03,10.67,7578,8281494.54
2024-08-01,11.0,10.88,11.22,10.86,5352,5897636.42
2024-08-02,10.81,11.06,11.32,10.81,13259,14768713.55
2024-08-05,11.0,10.66,11.07,10.6,8984,9738342.59
2024-08-06,10.78,10.91,10.97,10.66,7241,7851211.35
2024-08-07,10.84,10.74,10.89,10.7,5738,6174681.08
2024-08-08,10.72,11.08,11.46,10.72,24695,27693649.72
2024-08-09,11.08,11.0,11.2,10.89,11887,13056445.52
2024-08-12,11.04,11.33,11.55,10.97,20339,23044703.84
2024-08-13,11.32,11.07,11.32,10.96,12017,13324993.86
2024-08-14,11.02,10.93,11.09,10.8,6422,7033487.45
2024-08-15,11.03,11.05,11.21,10.92,6473,7162693.55
2024-08-16,11.07,10.88,11.09,10.86,5190,5678536.32
2024-08-19,10.82,10.86,10.92,10.78,5425,5885735.13
2024-08-20,10.81,10.8,10.96,10.77,5775,6274216.82
2024-08-21,10.75,10.66,10.82,10.65,4457,4776046.12
2024-08-22,10.63,10.53,10.74,10.51,5062,5362832.22
2024-08-23,10.6,10.53,10.6,10.45,4504,4737650.87
2024-08-26,10.47,10.43,10.61,10.4,5165,5420873.27
2024-08-27,10.57,10.53,10.69,10.5,7232,7656136.67
2024-08-28,10.43,10.59,10.64,10.43,4447,4700686.23
2024-08-29,10.59,10.69,10.73,10.53,4411,4706013.69
2024-08-30,10.74,10.86,10.92,10.65,6764,7332294.8
2024-09-02,10.76,10.65,10.86,10.61,4106,4401582.19
2024-09-03,10.66,10.69,10.79,10.6,3633,3882889.29
2024-09-04,10.69,10.62,10.71,10.55,4449,4718793.67
2024-09-05,10.68,10.62,10.72,10.57,3215,3424161.72
2024-09-06,10.7,10.51,10.7,10.46,4262,4490121.17
2024-09-09,10.46,10.5,10.55,10.37,2919,3059961.35
2024-09-10,10.49,10.52,10.52,10.39,2444,2551502.89
2024-09-11,10.47,10.48,10.51,10.42,2277,2382729.58
2024-09-12,10.52,10.43,10.55,10.38,3631,3799837.13
2024-09-13,10.43,10.5,10.63,10.35,4630,4862016.34
2024-09-18,10.55,10.42,10.55,10.37,2917,3038008.03
2024-09-19,10.49,10.52,10.59,10.4,3292,3464652.18
2024-09-20,10.48,10.53,10.57,10.48,3305,3476626.53
2024-09-23,10.59,10.54,10.68,10.52,2726,2884477.78
2024-09-24,10.58,10.74,10.77,10.49,7918,8438818.94
2024-09-25,10.96,10.83,11.0,10.81,12080,13169851.02
2024-09-26,10.84,11.02,11.07,10.79,9790,10709118.54
2024-09-27,11.23,11.71,11.98,11.13,28176,32618707.29
2024-09-30,12.5,13.66,13.8,12.09,82141,107253362.44
2024-10-08,16.8,15.98,17.2,14.35,104466,163610297.05
2024-10-09,14.93,13.48,15.11,13.4,58299,83477488.42
2024-10-10,13.52,13.48,14.25,13.4,35233,48491189.04
2024-10-11,13.51,12.53,13.51,12.41,26288,33758280.58
2024-10-14,12.6,12.99,13.12,12.5,20608,26420682.4
2024-10-15,12.87,12.58,13.3,12.57,26228,34056128.79
2024-10-16,12.45,12.82,13.18,12.36,23878,30627456.22
