d,o,h,l,c,v,e,zf,hs,zd,zde,ud
2024-09-03 09:35,10.11,10.13,10.07,10.09,58979,59542392,0.59,0.03,-0.2,-0.02,2024-10-24 23:18:54
2024-09-03 09:40,10.09,10.1,10.05,10.05,71751,72237445,0.5,0.04,-0.4,-0.04,2024-10-24 23:18:54
2024-09-03 09:45,10.05,10.07,10.04,10.04,48336,48564438,0.3,0.02,-0.1,-0.01,2024-10-24 23:18:54
2024-09-03 09:50,10.05,10.05,10.02,10.03,64036,64223747,0.3,0.03,-0.1,-0.01,2024-10-24 23:18:54
2024-09-03 09:55,10.03,10.07,10.02,10.06,39327,39489821,0.5,0.02,0.3,0.03,2024-10-24 23:18:54
2024-09-03 10:00,10.06,10.07,10.04,10.07,15620,15705226,0.3,0.01,0.1,0.01,2024-10-24 23:18:54
2024-09-03 10:05,10.07,10.07,10.02,10.03,34345,34475575,0.5,0.02,-0.4,-0.04,2024-10-24 23:18:54
2024-09-03 10:10,10.03,10.03,10,10.01,109122,109271732,0.3,0.06,-0.2,-0.02,2024-10-24 23:18:54
2024-09-03 10:15,10.01,10.03,10.01,10.03,32963,33012063,0.2,0.02,0.2,0.02,2024-10-24 23:18:54
2024-09-03 10:20,10.03,10.05,10.01,10.05,36171,36265347,0.4,0.02,0.2,0.02,2024-10-24 23:18:54
2024-09-03 10:25,10.05,10.06,10.04,10.04,14229,14295974,0.2,0.01,-0.1,-0.01,2024-10-24 23:18:54
2024-09-03 10:30,10.04,10.04,10.03,10.04,8113,8142072,0.1,0,0,0,2024-10-24 23:18:54
2024-09-03 10:35,10.04,10.04,10.02,10.04,14849,14891486,0.2,0.01,0,0,2024-10-24 23:18:54
2024-09-03 10:40,10.04,10.04,10.02,10.04,12851,12894703,0.2,0.01,0,0,2024-10-24 23:18:54
2024-09-03 10:45,10.05,10.06,10.04,10.05,17677,17766141,0.2,0.01,0.1,0.01,2024-10-24 23:18:54
2024-09-03 10:50,10.05,10.06,10.04,10.05,10190,10238131,0.2,0.01,0,0,2024-10-24 23:18:54
2024-09-03 10:55,10.05,10.06,10.03,10.06,9063,9103279,0.3,0,0.1,0.01,2024-10-24 23:18:54
2024-09-03 11:00,10.05,10.06,10.04,10.04,5819,5847467,0.2,0,-0.2,-0.02,2024-10-24 23:18:54
2024-09-03 11:05,10.04,10.05,10.03,10.04,6304,6331574,0.2,0,0,0,2024-10-24 23:18:54
