日期,开盘,收盘,最高,最低,成交量,成交额
2012-12-17,9.0,9.0,9.0,9.0,6000,5400000.0
2013-12-03,11.26,11.26,11.26,11.26,17326,19509300.0
2014-01-03,11.0,11.0,11.0,11.0,3000,3300000.0
2014-08-15,15.5,20.13,30.0,15.5,40,80500.0
2014-08-20,38.0,38.0,38.0,38.0,10,38000.0
2014-08-25,39.0,39.0,39.0,39.0,30,117000.0
2014-08-28,0.01,20.01,40.0,0.01,20,40010.0
2014-09-12,10.06,10.06,10.06,10.06,10,10060.0
2014-09-15,5.04,5.04,5.04,5.04,10,5040.0
2014-09-17,2.55,2.55,2.55,2.55,10,2550.0
2014-09-25,2.55,2.55,2.55,2.55,10,2550.0
2014-10-23,40.0,40.0,40.0,40.0,10,40000.0
2014-10-24,39.98,39.98,39.98,39.98,10,39980.0
2015-03-31,55.0,56.33,58.0,55.0,30,169000.0
2015-04-01,60.0,60.75,62.0,60.0,40,243000.0
2015-04-03,65.0,65.0,65.0,65.0,20,130000.0
2015-06-19,24.0,24.0,24.0,24.0,10000,24000000.0
2015-06-26,24.0,24.0,24.0,24.0,13750,33000000.0
2015-06-29,24.0,24.0,24.0,24.0,10,24000.0
2015-07-01,24.0,24.0,24.0,24.0,500,1200000.0
2015-07-02,24.0,24.0,24.0,24.0,5750,13800000.0
2015-07-08,24.0,24.14,25.0,24.0,70,169000.0
2015-07-10,28.0,24.02,28.0,24.0,2010,4828000.0
2015-07-22,26.0,26.0,26.0,26.0,10,26000.0
2015-08-06,30.0,30.0,30.0,30.0,10,30000.0
2015-09-21,21.6,21.6,21.6,21.6,2000,4320000.0
2015-10-27,25.0,25.0,25.0,25.0,10,25000.0
2015-10-28,25.0,24.14,25.0,24.0,70,169000.0
2015-10-30,25.0,25.0,25.0,25.0,20,50000.0
2015-11-03,24.5,24.5,24.5,24.5,20,49000.0
2015-11-06,24.0,23.03,25.0,22.0,1540,3547000.0
2015-11-09,32.0,32.0,32.0,32.0,10,32000.0
2015-11-10,24.8,25.16,25.5,24.8,50,125800.0
2015-11-12,28.0,28.0,28.0,28.0,10,28000.0
2015-11-13,25.5,26.0,26.0,25.5,40,103000.0
2015-11-16,26.6,26.64,27.0,26.5,80,213100.0
2015-11-17,27.5,27.5,27.5,27.5,20,55000.0
2015-11-18,28.5,28.5,28.5,28.5,30,85500.0
2015-11-20,28.0,28.0,28.0,28.0,20,56000.0
2015-11-23,28.5,29.0,29.0,28.5,390,1124700.0
2015-11-25,25.01,29.2,29.2,25.01,4540,11396340.0
2015-11-26,26.0,27.0,27.0,26.0,880,2348250.0
2015-11-27,27.77,26.66,27.77,26.0,110,291410.0
2015-11-30,26.66,26.11,26.66,25.62,50,130560.0
2015-12-01,26.0,26.1,26.66,26.0,190,495870.0
2015-12-02,29.0,27.75,29.0,26.5,20,55500.0
2015-12-03,28.0,26.04,28.0,26.0,180,473600.0
2015-12-04,27.77,27.77,27.77,27.77,10,27770.0
2015-12-09,27.77,27.77,27.77,27.77,10,27770.0
2015-12-11,26.0,26.2,26.4,26.0,60,157200.0
2015-12-16,26.2,26.2,26.2,26.2,20,52400.0
2015-12-18,29.0,29.0,29.0,29.0,10,29000.0
2015-12-22,26.8,26.8,26.8,26.8,150,402000.0
2015-12-24,25.9,25.9,25.9,25.9,200,518000.0
2015-12-25,25.6,25.88,25.9,25.6,240,621000.0
2015-12-28,26.0,26.0,26.0,26.0,40,104000.0
2015-12-29,26.0,25.58,26.0,25.58,50,129580.0
2015-12-30,26.0,26.0,26.0,26.0,240,624000.0
2015-12-31,26.0,26.0,26.0,26.0,10,26000.0
2016-01-06,25.7,25.7,25.7,25.7,40,102800.0
2016-01-08,27.0,27.0,27.0,27.0,30,81000.0
2016-01-11,24.99,24.99,24.99,24.99,110,274890.0
2016-01-12,24.7,26.23,27.0,24.7,40,103400.0
2016-01-13,24.0,24.0,24.0,24.0,90,216000.0
2016-01-14,23.81,23.81,23.81,23.81,30,71430.0
2016-01-15,27.1,27.1,27.1,27.1,10,27100.0
2016-01-21,22.0,24.5,27.5,22.0,30,73500.0
2016-01-22,24.3,24.3,24.3,24.3,10,24300.0
2016-01-28,22.0,25.5,25.5,22.0,80,180380.0
2016-01-29,23.0,25.6,25.6,23.0,20,48600.0
2016-02-17,22.22,25.63,25.63,22.22,80,181170.0
2016-02-23,24.0,25.65,25.65,21.8,40,93250.0
2016-02-26,25.0,24.83,25.66,24.0,50,123660.0
2016-02-29,22.6,25.5,25.5,22.0,90,203300.0
2016-03-02,24.0,24.0,24.0,24.0,40,96000.0
2016-03-03,24.0,23.83,24.0,22.0,120,286000.0
2016-03-04,25.0,24.09,25.0,24.0,110,265000.0
2016-03-07,24.5,23.23,24.5,23.23,60,140650.0
2016-03-08,25.1,23.5,25.1,23.1,180,419800.0
2016-03-09,23.5,23.2,24.5,23.05,350,814800.0
2016-03-14,24.5,24.5,24.5,24.5,460,1127000.0
2016-03-16,23.0,22.68,23.45,21.9,160,355250.0
2016-03-17,22.7,22.68,22.7,22.68,20,45380.0
2016-03-18,22.19,22.0,22.19,22.0,60,132380.0
2016-03-21,22.0,22.66,22.66,22.0,40,88660.0
2016-03-22,22.0,22.0,22.0,22.0,140,308000.0
2016-03-23,22.0,22.33,22.66,22.0,20,44660.0
2016-03-24,22.33,22.0,22.33,22.0,110,242330.0
2016-03-25,22.99,22.99,22.99,22.99,20,45980.0
2016-03-28,22.85,22.88,22.88,22.85,30,68610.0
2016-03-29,22.88,22.88,22.88,22.88,10,22880.0
2016-04-01,23.45,23.45,23.45,23.45,30,70350.0
2016-04-05,23.45,24.0,25.0,23.45,200,477650.0
2016-04-06,24.0,23.5,24.0,23.1,400,928000.0
2016-04-07,23.5,24.3,24.8,23.5,820,1929100.0
2016-04-08,24.43,24.43,24.43,24.43,40,97720.0
2016-04-11,24.44,24.63,25.0,24.44,30,73880.0
2016-04-12,25.0,24.78,25.0,24.58,140,348240.0
2016-04-13,25.0,25.24,25.88,25.0,210,529950.0
2016-04-14,25.0,25.0,25.0,25.0,10,25000.0
2016-04-15,25.0,25.8,25.88,25.0,370,943120.0
2016-04-18,25.0,25.01,25.5,25.0,430,1075690.0
2016-04-19,25.0,24.97,25.0,24.95,30,74900.0
2016-04-20,25.0,25.0,25.05,25.0,140,350060.0
2016-04-21,25.8,25.05,26.0,25.05,200,513890.0
2016-04-22,26.0,25.99,26.0,25.0,270,691800.0
2016-04-26,25.99,25.98,26.0,25.9,210,545590.0
2016-04-27,26.0,25.98,26.0,25.97,70,181850.0
2016-04-28,26.0,26.0,26.0,26.0,10,26000.0
2016-04-29,26.0,26.0,26.0,26.0,10,26000.0
2016-05-03,24.0,24.05,25.0,23.99,660,1594660.0
2016-05-04,25.0,25.0,25.0,25.0,360,900000.0
2016-05-05,24.77,24.77,24.77,24.77,40,99080.0
2016-05-06,24.0,25.0,25.0,23.5,670,1608630.0
2016-05-09,24.0,24.0,24.0,24.0,10,24000.0
2016-05-10,24.0,23.73,24.0,23.5,110,261000.0
2016-05-11,23.0,24.0,24.0,23.0,160,373620.0
2016-05-16,23.5,23.5,23.5,23.5,10,23500.0
2016-05-18,24.0,24.0,24.0,24.0,10,24000.0
2016-05-23,24.5,23.5,24.5,23.5,20,48000.0
2016-05-31,23.0,23.0,23.0,23.0,10,23000.0
2016-06-01,23.0,23.0,23.0,23.0,70,161000.0
2016-06-02,23.5,23.0,23.5,22.9,80,185400.0
2016-06-06,23.0,23.01,23.01,23.0,20,46010.0
2016-06-07,23.0,23.0,23.0,22.22,410,922830.0
2016-06-08,24.0,24.0,24.0,24.0,10,24000.0
2016-06-13,23.0,23.0,23.0,23.0,10,23000.0
2016-06-14,22.5,22.5,22.5,22.5,10,22500.0
2016-06-15,24.01,24.01,24.01,24.01,10,24010.0
2016-06-17,21.5,21.55,22.0,21.5,110,237000.0
2016-06-20,21.55,21.55,21.55,21.55,10,21550.0
2016-06-21,21.55,21.39,21.55,21.1,60,128350.0
2016-06-22,21.3,21.3,21.3,21.3,100,213000.0
2016-06-24,23.0,23.0,23.0,23.0,10,23000.0
2016-06-29,23.0,22.9,23.0,22.7,30,68700.0
2016-06-30,22.5,23.0,23.0,22.2,60,134600.0
2016-07-01,22.9,21.8,22.9,21.6,120,270340.0
2016-07-04,21.5,22.01,22.22,21.5,240,524120.0
2016-07-05,21.8,21.8,21.81,21.8,60,130810.0
2016-07-06,24.0,24.0,24.0,24.0,10,24000.0
2016-07-07,22.66,22.66,22.66,22.66,10,22660.0
2016-07-15,2.21,23.99,23.99,2.21,30,45080.0
2016-07-20,20.0,22.6,22.6,20.0,20,42600.0
2016-07-25,22.0,22.0,22.0,22.0,20,44000.0
2016-07-26,22.0,21.97,22.0,21.8,120,263800.0
2016-07-28,22.0,22.0,22.0,22.0,50,110000.0
2016-07-29,21.8,21.8,21.8,21.8,20,43600.0
2016-08-02,22.0,22.0,22.0,22.0,50,110000.0
2016-08-04,23.8,23.8,23.8,23.8,10,23800.0
2016-08-10,21.0,21.0,21.0,21.0,30,63000.0
2016-08-12,23.01,23.01,23.01,23.01,10,23010.0
2016-08-15,21.5,21.55,21.55,21.5,30,64550.0
2016-08-17,21.0,21.0,21.0,21.0,20,42000.0
2016-08-24,23.0,22.5,23.0,22.0,20,45000.0
2016-08-26,21.0,21.0,21.0,21.0,10,21000.0
2016-08-29,21.0,21.0,21.0,21.0,10,21000.0
2016-08-31,21.0,21.0,21.0,21.0,10,21000.0
2016-09-01,21.0,21.0,21.0,21.0,10,21000.0
2016-09-02,23.01,23.01,23.01,23.01,10,23010.0
2016-09-13,21.0,21.0,21.0,21.0,10,21000.0
2016-09-19,20.0,21.4,21.8,20.0,30,62800.0
2016-09-20,21.0,21.0,21.0,21.0,20,42000.0
2016-09-21,21.0,21.0,21.0,21.0,20,42000.0
2016-09-26,18.88,18.88,18.88,18.88,10,18880.0
2016-09-27,20.0,20.0,20.0,20.0,60,120000.0
2016-09-29,18.88,18.88,18.88,18.88,10,18880.0
2016-09-30,18.99,18.98,19.0,18.88,90,170800.0
2016-10-10,20.0,20.0,20.0,20.0,20,40000.0
2016-10-11,20.0,20.0,20.0,20.0,10,20000.0
2016-10-12,20.0,20.0,20.0,20.0,40,80000.0
2016-10-13,20.0,19.5,20.0,19.5,40,79000.0
2016-10-14,19.5,19.69,20.0,19.5,70,137800.0
2016-10-17,20.0,20.0,20.0,20.0,20,40000.0
2016-10-18,20.0,20.0,20.0,20.0,20,40000.0
2016-10-20,22.0,22.0,22.0,22.0,10,22000.0
2016-10-21,20.0,20.0,20.0,20.0,40,80000.0
2016-10-24,20.2,20.2,20.2,20.2,10,20200.0
2016-10-25,19.5,19.5,19.5,19.5,20,39000.0
2016-10-26,20.5,20.5,20.5,20.5,10,20500.0
2016-10-28,20.0,20.0,20.0,20.0,10,20000.0
2016-10-31,19.0,19.0,19.0,19.0,10,19000.0
2016-11-02,19.5,19.33,19.5,19.0,30,58000.0
2016-11-03,19.0,19.0,19.0,19.0,20,38000.0
2016-11-04,18.18,18.16,18.18,18.0,110,199800.0
2016-11-07,20.0,18.54,20.0,18.5,90,168280.0
2016-11-08,19.88,19.88,19.88,19.88,10,19880.0
2016-11-09,20.01,20.01,20.01,20.01,10,20010.0
2016-11-14,18.0,17.83,18.28,17.77,440,786040.0
2016-11-15,19.5,19.5,19.5,19.5,10,19500.0
2016-11-16,17.0,17.7,17.7,17.0,170,293900.0
2016-11-17,18.0,17.5,18.0,17.5,110,195280.0
2016-11-18,17.5,17.5,17.5,17.5,60,105000.0
2016-11-22,17.1,17.0,17.1,17.0,350,595160.0
2016-11-23,16.9,16.82,16.9,16.8,60,100900.0
2016-11-25,17.77,17.77,17.77,17.77,10,17770.0
2016-11-28,16.8,16.98,17.0,16.8,90,152800.0
2016-11-29,17.0,17.0,17.0,17.0,10,17000.0
2016-12-01,17.0,17.01,17.1,17.0,200,340100.0
2016-12-06,17.01,17.01,17.01,17.01,10,17010.0
2016-12-07,17.8,17.8,17.8,17.8,10,17800.0
2016-12-08,16.8,17.47,17.8,16.8,30,52400.0
2016-12-09,18.0,18.0,18.0,18.0,30,54000.0
2016-12-20,17.8,17.8,17.8,17.8,70,124600.0
2016-12-21,17.5,17.5,17.5,17.43,570,996800.0
2016-12-22,17.6,17.6,17.6,17.6,50,88000.0
2016-12-30,22.0,20.4,22.0,20.0,50,102000.0
2017-01-03,20.0,20.0,20.0,20.0,20,40000.0
2017-01-04,20.0,20.0,20.0,20.0,10,20000.0
2017-01-09,20.0,18.5,20.0,17.0,20,37000.0
